ver_id,id
293591,2726
297461,15605
361588,21608
361588,34522
361588,21020
280883,2973
549278,47848
549278,17
508867,23043
466246,17
468045,17
516915,157
468640,42032
498951,17
498951,8291
466345,17
530559,17
530559,32395
524514,17
524514,32866
457683,38209
298032,22593
362456,22593
376539,22593
595692,22593
568182,33626
572933,22593
572933,46544
560532,22593
560532,34801
20720,267
165308,267
165308,234
76931,7162
69505,14813
279688,2366
301263,2366
233951,5657
90393,1391
266028,18852
266028,234
154731,6275
29502,6275
212306,6275
70909,6275
164824,6275
41351,8291
129767,8291
22673,234
64715,234
219203,234
64718,234
113858,234
113858,8313
24269,234
202718,234
90394,7992
24739,5812
27747,3888
310376,3888
213788,3888
81718,9234
27305,2861
588548,234
588548,2861
189116,538
191327,538
21333,538
25707,538
297589,5657
297589,234
297589,538
174151,538
482657,12540
549588,10768
403168,10768
465955,5380
474135,22380
558759,6194
517882,22609
573499,10768
573499,8291
502543,2726
546965,15605
507315,34522
479470,30677
455290,39249
479925,8147
543809,33525
543809,47476
450310,30958
450310,33525
527636,30958
527636,33525
522115,30958
522115,33525
481465,29409
468850,33525
468850,10848
490010,33525
490010,10848
537199,33525
537199,17786
528735,22609
499196,25074
499196,33525
487925,44532
487925,33525
527144,33525
527144,32591
528259,33525
528259,18852
519028,24883
519028,33525
601862,24883
601863,24883
486458,23756
426078,7992
397089,39354
469383,39354
489707,39354
428145,3
461079,3
463625,35491
463625,39354
436167,39354
560419,39
538390,8820
433549,37959
451386,29154
424174,39249
456761,2726
456761,39354
461153,32591
463910,39354
463910,18852
417451,36401
558632,47848
558632,538
368726,538
375993,538
344725,538
368911,538
394209,538
374548,538
354037,538
376229,538
434610,8820
434610,538
434609,8820
434609,538
351787,157
375002,1391
387468,8291
387089,8291
368892,5812
368892,538
368893,5812
368893,538
386799,2366
457858,9325
383676,9325
375764,2366
428178,538
385066,47848
385066,17
522994,23043
522994,17
319775,17
320450,2973
320224,264
319812,15889
370135,3475
464881,8291
320645,4617
320241,15605
454059,18852
319972,2973
319972,17
551314,17
551314,48269
551314,33998
489103,8147
521924,33710
521924,39814
413850,39814
530270,39814
589344,39814
493119,30571
486738,15108
500016,7251
553555,8291
553555,39814
550735,4617
569596,15605
562854,34522
562854,39814
493120,30571
510106,7162
549127,9234
510588,37
510588,7992
485581,267
479713,37
529059,37
583234,37
503011,8923
463618,37
495585,37
583293,37
519378,6214
519378,37
592440,23382
583363,37
583363,22
496550,5530
496550,37
520952,21640
512085,8291
512085,37
501115,4617
548275,2366
548281,8822
548281,37
519883,1466
586246,31372
586246,37
517079,2366
579011,45134
500496,40478
500496,29156
500496,23756
448165,4304
486785,29156
342655,29156
342652,29156
342654,29156
342653,29156
345524,29156
286896,29156
434246,29156
595121,29156
595121,29409
569694,36563
422081,39390
440312,8291
430203,4304
579455,42325
392433,34522
392433,29156
393523,30677
250967,7345
408947,30552
261341,7992
192836,2862
513820,2862
183846,8923
182429,264
390004,7345
390004,264
560716,7345
185724,10768
569405,10768
251272,1391
380904,23205
183538,7466
393676,2366
168683,7345
168683,3
511473,7345
511473,3
209563,25203
340167,29194
245254,25973
33614,9234
568795,9234
33611,4304
20573,58
20573,267
434598,267
434595,3
26899,3
232973,3
23758,3
24892,3
282032,2973
23948,58
439463,58
257801,58
434594,58
352880,6214
279539,6214
310221,58
310221,8820
27740,3888
464985,5530
161554,3888
260450,5530
34669,3475
434601,3475
542143,58
542143,8291
33610,8291
86409,3218
464983,3218
24179,5812
24188,5812
434600,5812
33935,7581
282033,15605
434596,15605
33607,8822
503612,18852
73257,8313
30561,2973
434597,2973
343250,33998
464984,33998
113063,27082
339115,27082
538592,27082
376219,26892
336722,26892
392224,30034
383671,6123
398093,26892
398093,22609
395939,25074
397883,31815
372458,32591
389046,34522
375677,8351
454492,8147
465800,41423
