ver_id,id,type
310221,4959,artist
27740,11827,artist
464985,6206,artist
464985,11827,artist
161554,6206,artist
161554,11827,artist
260450,6206,artist
260450,11827,artist
34669,11827,artist
434601,11827,artist
33610,11827,artist
86409,11827,artist
464983,11827,artist
24179,11827,artist
24188,11827,artist
434600,11827,artist
33935,11827,artist
282033,11827,artist
434596,11827,artist
33607,11827,artist
73257,11827,artist
30561,11827,artist
434597,11827,artist
343250,11827,artist
343250,98541,artist
464984,11827,artist
464984,98541,artist
339115,67928,artist
339115,66627,artist
538592,67928,artist
538592,66627,artist
376219,11507,artist
375677,11507,artist
285222,64844,artist
454948,64844,artist
460090,64844,artist
248956,69246,artist
248956,24858,artist
263058,69246,artist
263058,24858,artist
254037,69246,artist
254037,24858,artist
275395,78030,artist
275395,19411,artist
275395,72509,artist
275395,69246,artist
275395,36621,artist
275395,48500,artist
275395,24858,artist
275395,47549,artist
275395,68942,artist
275395,49280,artist
261912,69246,artist
261912,24858,artist
322162,78030,artist
322162,19411,artist
322162,69246,artist
322162,24858,artist
257777,69246,artist
257777,24858,artist
326399,95549,artist
326399,95550,artist
354964,95549,artist
354964,95550,artist
413265,95549,artist
413265,95550,artist
377612,95549,artist
377612,95550,artist
355348,95549,artist
355348,95550,artist
391354,95549,artist
391354,95550,artist
378441,95549,artist
378441,95550,artist
90890,11507,artist
21720,11507,artist
22645,11507,artist
162791,11507,artist
25901,11507,artist
131785,11507,artist
549305,11507,artist
217950,11507,artist
338832,11507,artist
40475,11507,artist
284441,11507,artist
26984,11507,artist
47687,11507,artist
356576,11507,artist
33087,11507,artist
269414,11507,artist
168798,11507,artist
515245,11507,artist
126320,11507,artist
524351,11507,artist
29833,11507,artist
228033,11507,artist
278264,51255,artist
373895,51255,artist
287420,51255,artist
385440,51255,artist
561560,12484,artist
420679,80162,artist
520821,12484,artist
391349,12484,artist
423617,12484,artist
435122,12484,artist
435122,80162,artist
449688,12484,artist
417786,12484,artist
466772,12484,artist
437818,12484,artist
437818,80162,artist
566518,12484,artist
584007,11462,artist
584007,12484,artist
584007,138547,artist
571944,11462,artist
571944,12484,artist
571944,138547,artist
571944,11797,artist
583278,11462,artist
571945,11462,artist
588632,11462,artist
588632,12484,artist
588632,138547,artist
588632,11797,artist
502906,64844,artist
590466,64844,artist
524542,64844,artist
468127,84274,artist
468127,12965,artist
468128,84274,artist
468128,12965,artist
395932,64844,artist
244339,64844,artist
370519,64844,artist
372724,64844,artist
558265,64844,artist
420068,74074,artist
420068,14057,artist
560187,74074,artist
560187,14057,artist
395362,74074,artist
395362,14057,artist
410836,74074,artist
410836,14057,artist
437888,74074,artist
437888,14057,artist
385808,74074,artist
385808,14057,artist
401797,74074,artist
401797,14057,artist
407637,74074,artist
407637,14057,artist
361011,74074,artist
361011,14057,artist
399165,74074,artist
399165,14057,artist
422181,74074,artist
422181,14057,artist
432700,74074,artist
432700,14057,artist
403423,74074,artist
403423,14057,artist
369734,74074,artist
369734,14057,artist
399023,74074,artist
399023,14057,artist
417134,74074,artist
417134,14057,artist
498742,14057,artist
473068,74074,artist
473068,14057,artist
403830,14057,artist
378114,74074,artist
378114,14057,artist
378408,74074,artist
378408,14057,artist
391592,74074,artist
391592,14057,artist
153064,19023,artist
153064,32143,artist
39738,19023,artist
39738,32143,artist
153058,19023,artist
153058,32143,artist
303403,19023,artist
303403,32143,artist
101831,19023,artist
101831,32143,artist
153060,19023,artist
153060,32143,artist
103629,19023,artist
103629,32143,artist
101764,32143,artist
50312,12515,artist
50312,11997,artist
90960,12515,artist
90960,11997,artist
21187,12515,artist
21188,12515,artist
21188,11997,artist
21189,12515,artist
21189,11997,artist
21190,12515,artist
21190,11997,artist
243672,12515,artist
243672,11997,artist
76954,12515,artist
76954,11997,artist
23955,12515,artist
23955,11997,artist
191791,12515,artist
191791,11997,artist
189052,12515,artist
189052,11997,artist
90610,12515,artist
90610,11997,artist
28250,12515,artist
28250,11997,artist
90949,12515,artist
90949,11997,artist
165453,12515,artist
165453,11997,artist
436293,70533,artist
465438,70533,artist
529468,70533,artist
434387,70533,artist
448346,70533,artist
445695,70533,artist
450843,70533,artist
579369,70533,artist
474107,70533,artist
435540,70533,artist
444739,70533,artist
371259,122536,artist
487032,122536,artist
397679,122536,artist
165641,56728,artist
